val_loss,epoch,step,train_loss
0.4555302858352661,0,22,
,0,22,1.5211941003799438
0.3387923836708069,1,45,
,1,45,0.46245428919792175
0.30490797758102417,2,68,
,2,68,0.34609532356262207
0.28720200061798096,3,91,
,3,91,0.29118043184280396
0.28287655115127563,4,114,
,4,114,0.24220731854438782
0.2781638503074646,5,137,
,5,137,0.21517786383628845
0.28346171975135803,6,160,
,6,160,0.1892888844013214
0.2885322868824005,7,183,
,7,183,0.16436484456062317
0.28464722633361816,8,206,
,8,206,0.1452409029006958
0.2878377139568329,9,229,
,9,229,0.13022378087043762
0.29401731491088867,10,252,
,10,252,0.1136908084154129
0.3020051121711731,11,275,
,11,275,0.09924352914094925
0.30817246437072754,12,298,
,12,298,0.09084942936897278
0.31008151173591614,13,321,
,13,321,0.07888621091842651
0.3197838366031647,14,344,
,14,344,0.0696212649345398
0.32557231187820435,15,367,
,15,367,0.06439416110515594
0.32763996720314026,16,390,
,16,390,0.05668532848358154
0.3305055499076843,17,413,
,17,413,0.05183728411793709
0.34080153703689575,18,436,
,18,436,0.048019200563430786
0.3374177813529968,19,459,
,19,459,0.042532872408628464
0.34216734766960144,20,482,
,20,482,0.039401281625032425
0.3499663174152374,21,505,
,21,505,0.03423840552568436
0.35843604803085327,22,528,
,22,528,0.03206973895430565
0.35690557956695557,23,551,
,23,551,0.030964380130171776
0.3628953993320465,24,574,
,24,574,0.027952387928962708
0.37015026807785034,25,597,
,25,597,0.02528945542871952
0.36967915296554565,26,620,
,26,620,0.024695683270692825
0.37545302510261536,27,643,
,27,643,0.023485632613301277
0.3727436363697052,28,666,
,28,666,0.021590877324342728
0.37855222821235657,29,689,
,29,689,0.019407302141189575
0.38422664999961853,30,712,
,30,712,0.018869398161768913
0.38804593682289124,31,735,
,31,735,0.016686033457517624
0.38699623942375183,32,758,
,32,758,0.016493650153279305
0.3926697373390198,33,781,
,33,781,0.015895044431090355
0.3957672715187073,34,804,
,34,804,0.016335224732756615
0.3971779942512512,35,827,
,35,827,0.015270119532942772
0.40287506580352783,36,850,
,36,850,0.01329435221850872
0.40346500277519226,37,873,
,37,873,0.011917348951101303
0.4051579236984253,38,896,
,38,896,0.010751314461231232
0.4117285907268524,39,919,
,39,919,0.010476415976881981
0.406421959400177,40,942,
,40,942,0.011908216401934624
0.4068719446659088,41,965,
,41,965,0.010876295156776905
0.4159094989299774,42,988,
,42,988,0.010380007326602936
0.41584312915802,43,1011,
,43,1011,0.009610586799681187
0.41696351766586304,44,1034,
,44,1034,0.009794635698199272
0.42193788290023804,45,1057,
,45,1057,0.009009569883346558
0.42189615964889526,46,1080,
,46,1080,0.00869671069085598
0.4264402985572815,47,1103,
,47,1103,0.008958685211837292
0.42744582891464233,48,1126,
,48,1126,0.009110435843467712
0.43770724534988403,49,1149,
,49,1149,0.007976329885423183
