val_loss,epoch,step,train_loss
0.21610194444656372,0,22,
,0,22,1.153693437576294
0.1301097273826599,1,45,
,1,45,0.19876310229301453
0.12682293355464935,2,68,
,2,68,0.14035867154598236
0.105957992374897,3,91,
,3,91,0.10763252526521683
0.10289248079061508,4,114,
,4,114,0.08256536722183228
0.10285323858261108,5,137,
,5,137,0.0691237598657608
0.10845677554607391,6,160,
,6,160,0.06551459431648254
0.10494493693113327,7,183,
,7,183,0.06272989511489868
0.10475656390190125,8,206,
,8,206,0.04887848347425461
0.10769981145858765,9,229,
,9,229,0.040509991347789764
0.10887659341096878,10,252,
,10,252,0.03664353862404823
0.106488898396492,11,275,
,11,275,0.0339571014046669
0.1110236719250679,12,298,
,12,298,0.03188595175743103
0.1117044985294342,13,321,
,13,321,0.028731340542435646
0.11478147655725479,14,344,
,14,344,0.024763114750385284
0.11494298279285431,15,367,
,15,367,0.023234810680150986
0.11430424451828003,16,390,
,16,390,0.02072063647210598
0.11706579476594925,17,413,
,17,413,0.019244689494371414
0.12096993625164032,18,436,
,18,436,0.01885775476694107
0.11945851892232895,19,459,
,19,459,0.016796646639704704
0.11944393813610077,20,482,
,20,482,0.013899797573685646
0.12196099758148193,21,505,
,21,505,0.01312788762152195
0.12163402140140533,22,528,
,22,528,0.012342125177383423
0.12640102207660675,23,551,
,23,551,0.010200115852057934
0.12829726934432983,24,574,
,24,574,0.01052804384380579
0.12924718856811523,25,597,
,25,597,0.009664145298302174
0.13278742134571075,26,620,
,26,620,0.009114492684602737
0.13175803422927856,27,643,
,27,643,0.009381444193422794
0.13329021632671356,28,666,
,28,666,0.009693755768239498
0.13049398362636566,29,689,
,29,689,0.008764272555708885
0.13279733061790466,30,712,
,30,712,0.008500438183546066
0.13652318716049194,31,735,
,31,735,0.0073355636559426785
0.13436640799045563,32,758,
,32,758,0.007629063446074724
0.13545016944408417,33,781,
,33,781,0.008019030094146729
0.12873178720474243,34,804,
,34,804,0.008535915054380894
0.1322803944349289,35,827,
,35,827,0.006359134800732136
0.13479456305503845,36,850,
,36,850,0.006847759243100882
0.13467077910900116,37,873,
,37,873,0.005582867190241814
0.1385546773672104,38,896,
,38,896,0.004877510014921427
0.1411249041557312,39,919,
,39,919,0.0047699990682303905
0.136919304728508,40,942,
,40,942,0.004970502573996782
0.14172802865505219,41,965,
,41,965,0.005040531046688557
0.14268526434898376,42,988,
,42,988,0.004987632855772972
0.13621339201927185,43,1011,
,43,1011,0.005368768237531185
0.13498346507549286,44,1034,
,44,1034,0.005210689269006252
0.13903774321079254,45,1057,
,45,1057,0.004590263590216637
0.13968729972839355,46,1080,
,46,1080,0.00454296637326479
0.139319509267807,47,1103,
,47,1103,0.004715630318969488
0.14053475856781006,48,1126,
,48,1126,0.004403107333928347
0.1411070078611374,49,1149,
,49,1149,0.0035961209796369076
