val_loss,epoch,step,train_loss
0.5957598090171814,0,22,
,0,22,5.878231525421143
0.3817559778690338,1,45,
,1,45,0.5908939838409424
0.3276931047439575,2,68,
,2,68,0.4218409061431885
0.29981037974357605,3,91,
,3,91,0.3571450710296631
0.28333309292793274,4,114,
,4,114,0.31538233160972595
0.26716992259025574,5,137,
,5,137,0.286439448595047
0.2573821246623993,6,160,
,6,160,0.255765825510025
0.2530202269554138,7,183,
,7,183,0.22807832062244415
0.24975086748600006,8,206,
,8,206,0.21045678853988647
0.24829792976379395,9,229,
,9,229,0.19138197600841522
0.24905939400196075,10,252,
,10,252,0.17338815331459045
0.24875202775001526,11,275,
,11,275,0.15882571041584015
0.25036051869392395,12,298,
,12,298,0.1432633250951767
0.26127496361732483,13,321,
,13,321,0.12979662418365479
0.26571595668792725,14,344,
,14,344,0.11881361156702042
0.2669496536254883,15,367,
,15,367,0.11009068042039871
0.27703118324279785,16,390,
,16,390,0.10034286230802536
0.28071799874305725,17,413,
,17,413,0.0932970866560936
0.29393431544303894,18,436,
,18,436,0.08593432605266571
0.3107326030731201,19,459,
,19,459,0.07739322632551193
0.3223491907119751,20,482,
,20,482,0.07166478782892227
0.31103649735450745,21,505,
,21,505,0.06675484031438828
0.3177074193954468,22,528,
,22,528,0.061313655227422714
0.33809763193130493,23,551,
,23,551,0.057632654905319214
0.3431018590927124,24,574,
,24,574,0.050410348922014236
0.33842772245407104,25,597,
,25,597,0.048599034547805786
0.35236212611198425,26,620,
,26,620,0.0446283258497715
0.3450699746608734,27,643,
,27,643,0.04264959692955017
0.3760027289390564,28,666,
,28,666,0.03978575021028519
0.35747572779655457,29,689,
,29,689,0.03742118179798126
0.35400256514549255,30,712,
,30,712,0.03515181690454483
0.37648913264274597,31,735,
,31,735,0.03315404802560806
0.3602091073989868,32,758,
,32,758,0.029323067516088486
0.3578502833843231,33,781,
,33,781,0.028957638889551163
0.3743335008621216,34,804,
,34,804,0.0267572533339262
0.39115971326828003,35,827,
,35,827,0.024775875732302666
0.3900469243526459,36,850,
,36,850,0.03598610684275627
0.3832215964794159,37,873,
,37,873,0.029742706567049026
0.39679619669914246,38,896,
,38,896,0.025750771164894104
0.40343233942985535,39,919,
,39,919,0.024888338521122932
0.385187566280365,40,942,
,40,942,0.022348608821630478
0.4092600643634796,41,965,
,41,965,0.01841169409453869
0.4157038927078247,42,988,
,42,988,0.01879134401679039
0.41924726963043213,43,1011,
,43,1011,0.017961423844099045
0.4444001317024231,44,1034,
,44,1034,0.01695505529642105
0.437373548746109,45,1057,
,45,1057,0.015157974325120449
0.41786158084869385,46,1080,
,46,1080,0.01589852198958397
0.4164302945137024,47,1103,
,47,1103,0.016341518610715866
0.43077489733695984,48,1126,
,48,1126,0.015074094757437706
0.45780807733535767,49,1149,
,49,1149,0.012271656654775143
