val_loss,epoch,step,train_loss
0.561556875705719,0,999,
,0,999,0.05637885257601738
0.7268811464309692,1,1999,
,1,1999,0.011689773760735989
0.7323012948036194,2,2999,
,2,2999,0.009717706590890884
0.7160220146179199,3,3999,
,3,3999,0.009615610353648663
0.7828693985939026,4,4999,
,4,4999,0.00867539457976818
